building_name,prefecture,city,address,unit_number,rent,rawRent,bedroom,area_m2,area_ft2,station_name,station_distance_min,url,features
"AZEST Ohanajaya VI","Tokyo","Katsushika-ku","Ohanajaya 3-20-5","101","87,000","87000","S","22.44","242","Ohanajaya","10","https://apts.jp/properties/179406-azest-ohanajaya-vi-101","Air Conditioning"
"Ichibankan Hamano","Tokyo","Taito-ku","Imado 2-36-3","501","88,000","88000","1","33.88","365","Asakusa","18","https://apts.jp/properties/67415-ichibankan-hamano-501","Air Conditioning"
"Arba Heights Ogi Ohashi","Tokyo","Adachi-ku","Ogi 2-9-20","106","88,000","88000","S","25.37","273","Ogi Ohashi","3","https://apts.jp/properties/168171-arba-heights-ogi-ohashi-106","Parking"
"Arba Heights Ogi Ohashi","Tokyo","Adachi-ku","Ogi 2-9-20","204","89,000","89000","S","25.37","273","Ogi Ohashi","3","https://apts.jp/properties/168171-arba-heights-ogi-ohashi-106","Parking"
"Arba Heights Ogi Ohashi","Tokyo","Adachi-ku","Ogi 2-9-20","403","91,000","91000","S","25.26","272","Ogi Ohashi","3","https://apts.jp/properties/168171-arba-heights-ogi-ohashi-106","Parking"
"Corporate Takenotsuka 2-Chome","Tokyo","Adachi-ku","Takenotsuka 2-29-10","404","88,000","88000","1","37.72","406","Takenotsuka","7","https://apts.jp/properties/179288-corporate-takenotsuka-2-chome-404","Air Conditioning · Bicycle Storage"
"Corporate Takenotsuka 2-Chome","Tokyo","Adachi-ku","Takenotsuka 2-29-10","603","88,000","88000","1","37.72","406","Takenotsuka","7","https://apts.jp/properties/179288-corporate-takenotsuka-2-chome-404","Air Conditioning · Bicycle Storage"
"Struth Kameari","Tokyo","Katsushika-ku","Nishikameari(3.4-chome) 4-12-3","110","89,000","89000","S","21.6","233","Kameari","9","https://apts.jp/properties/177353-struth-kameari-110","Air Conditioning · Bicycle Storage"
"Struth Kameari","Tokyo","Katsushika-ku","Nishikameari(3.4-chome) 4-12-3","304","91,000","91000","S","21.54","232","Kameari","9","https://apts.jp/properties/177353-struth-kameari-110","Air Conditioning · Bicycle Storage"
"RJR Recross Takasago","Tokyo","Katsushika-ku","Takasago 6-5-15","539","89,000","89000","S","20.44","220","Keisei Takasago","11","https://apts.jp/properties/180592-rjr-recross-takasago-539",""
"SK Garden Nishikasai III","Tokyo","Edogawa-ku","Nishikasai 5-8-15","501","89,000","89000","S","24.9","268","Nishi Kasai","8","https://apts.jp/properties/182902-sk-garden-nishikasai-iii-501","Air Conditioning · Bicycle Storage"
"Bamboo House Building","Tokyo","Adachi-ku","Umejima 2-38-9","201","89,650","89650","S","33.29","358","Umejima","8","https://apts.jp/properties/177563-bamboo-house-building-201",""
"Aoto Dot","Tokyo","Katsushika-ku","Aoto 1-20-11","303","91,000","91000","S","21.75","234","Aoto","6","https://apts.jp/properties/183046-aoto-dot-303","Air Conditioning · Bicycle Storage"
"AZEST Kameari II","Tokyo","Katsushika-ku","Nishikameari(3.4-chome) 4-21-8","210","91,000","91000","S","22.62","243","Kameari","7","https://apts.jp/properties/180025-azest-kameari-ii-210","Air Conditioning"
"La Douceur Ohanajaya II","Tokyo","Katsushika-ku","Ohanajaya 1-9-5","309","92,000","92000","S","21.75","234","Ohanajaya","6","https://apts.jp/properties/143985-la-douceur-ohanajaya-ii-309","Parking"
"La Douceur Ohanajaya II","Tokyo","Katsushika-ku","Ohanajaya 1-9-5","403","93,000","93000","S","21.46","231","Ohanajaya","6","https://apts.jp/properties/143985-la-douceur-ohanajaya-ii-309","Parking"
"La Douceur Ohanajaya II","Tokyo","Katsushika-ku","Ohanajaya 1-9-5","517","93,000","93000","S","21.75","234","Ohanajaya","6","https://apts.jp/properties/143985-la-douceur-ohanajaya-ii-309","Parking"
"La Douceur Ohanajaya II","Tokyo","Katsushika-ku","Ohanajaya 1-9-5","423","93,000","93000","S","21.75","234","Ohanajaya","6","https://apts.jp/properties/143985-la-douceur-ohanajaya-ii-309","Parking"
"La Douceur Ohanajaya II","Tokyo","Katsushika-ku","Ohanajaya 1-9-5","513","93,000","93000","S","21.75","234","Ohanajaya","6","https://apts.jp/properties/143985-la-douceur-ohanajaya-ii-309","Parking"
"La Douceur Ohanajaya II","Tokyo","Katsushika-ku","Ohanajaya 1-9-5","433","93,000","93000","S","21.46","231","Ohanajaya","6","https://apts.jp/properties/143985-la-douceur-ohanajaya-ii-309","Parking"
"La Douceur Ohanajaya II","Tokyo","Katsushika-ku","Ohanajaya 1-9-5","410","93,000","93000","S","21.75","234","Ohanajaya","6","https://apts.jp/properties/143985-la-douceur-ohanajaya-ii-309","Parking"
"La Douceur Takasago","Tokyo","Katsushika-ku","Takasago 3-28-15","402","92,000","92000","S","21.14","228","Keisei Takasago","10","https://apts.jp/properties/183079-la-douceur-takasago-402",""
"La Douceur Takasago","Tokyo","Katsushika-ku","Takasago 3-28-15","406","96,500","96500","S","21.37","230","Keisei Takasago","10","https://apts.jp/properties/183079-la-douceur-takasago-402",""
"Milia Vita NO.22","Tokyo","Edogawa-ku","Nishikoiwa 5-14-15","0302A","93,000","93000","S","25.05","270","Keisei Koiwa","5","https://apts.jp/properties/180915-milia-vita-no-22-0302a","Air Conditioning · Bicycle Storage"
"Milia Vita NO.22","Tokyo","Edogawa-ku","Nishikoiwa 5-14-15","0602A","95,000","95000","S","25.05","270","Keisei Koiwa","5","https://apts.jp/properties/180915-milia-vita-no-22-0302a","Air Conditioning · Bicycle Storage"
"Milia Vita NO.22","Tokyo","Edogawa-ku","Nishikoiwa 5-14-15","0302B","98,000","98000","S","25.05","270","Keisei Koiwa","5","https://apts.jp/properties/180915-milia-vita-no-22-0302a","Air Conditioning · Bicycle Storage"
"Milia Vita NO.22","Tokyo","Edogawa-ku","Nishikoiwa 5-14-15","0602B","100,000","100000","S","25.05","270","Keisei Koiwa","5","https://apts.jp/properties/180915-milia-vita-no-22-0302a","Air Conditioning · Bicycle Storage"
"Ground Dukes Nishi Ojima","Tokyo","Koto-ku","Ojima 1-20-8","0303","93,000","93000","S","22.8","245","Nishi Ojima","5","https://apts.jp/properties/182712-ground-dukes-nishi-ojima-0303","Air Conditioning · Pet Friendly · Bicycle Storage"
"Ground Dukes Nishi Ojima","Tokyo","Koto-ku","Ojima 1-20-8","0503","97,000","97000","S","22.8","245","Nishi Ojima","5","https://apts.jp/properties/182712-ground-dukes-nishi-ojima-0303","Air Conditioning · Pet Friendly · Bicycle Storage"
"Welt Kameido","Tokyo","Koto-ku","Kameido 7-50-12","0201A","94,000","94000","S","25.25","272","Ojima","9","https://apts.jp/properties/180909-welt-kameido-0201a","Air Conditioning · Pet Friendly · Bicycle Storage"
"Welt Kameido","Tokyo","Koto-ku","Kameido 7-50-12","0201B","99,000","99000","S","25.25","272","Ojima","9","https://apts.jp/properties/180909-welt-kameido-0201a","Air Conditioning · Pet Friendly · Bicycle Storage"
"THE Palms Shinkoiwa","Tokyo","Katsushika-ku","Higashishinkoiwa 3-1-16","406","94,000","94000","S","20.63","222","Shin Koiwa","6","https://apts.jp/properties/181935-the-palms-shinkoiwa-406","Parking"
"THE Palms Shinkoiwa","Tokyo","Katsushika-ku","Higashishinkoiwa 3-1-16","508","95,000","95000","S","21.62","233","Shin Koiwa","6","https://apts.jp/properties/181935-the-palms-shinkoiwa-406","Parking"
"Azest Horikiri Iris Garden II","Tokyo","Katsushika-ku","Horikiri 3-4-10","103","95,000","95000","S","25.65","276","Horikiri Shobuen","3","https://apts.jp/properties/177767-azest-horikiri-iris-garden-ii-103","Air Conditioning · Bicycle Storage"
"Ecology Shiomi Residence","Tokyo","Koto-ku","Shiomi 2-1-5","105","95,000","95000","S","21.2","228","Shiomi","8","https://apts.jp/properties/152171-ecology-shiomi-residence-105","Parking"
"Ecology Shiomi Residence","Tokyo","Koto-ku","Shiomi 2-1-5","405","99,000","99000","S","21.69","233","Shiomi","8","https://apts.jp/properties/152171-ecology-shiomi-residence-105","Parking"
"Ecology Shiomi Residence","Tokyo","Koto-ku","Shiomi 2-1-5","511","100,000","100000","S","21.2","228","Shiomi","8","https://apts.jp/properties/152171-ecology-shiomi-residence-105","Parking"
"Ecology Shiomi Residence","Tokyo","Koto-ku","Shiomi 2-1-5","711","100,000","100000","S","21.2","228","Shiomi","8","https://apts.jp/properties/152171-ecology-shiomi-residence-105","Parking"
"Ecology Shiomi Residence","Tokyo","Koto-ku","Shiomi 2-1-5","508","100,000","100000","S","21.2","228","Shiomi","8","https://apts.jp/properties/152171-ecology-shiomi-residence-105","Parking"
"Ecology Shiomi Residence","Tokyo","Koto-ku","Shiomi 2-1-5","911","101,000","101000","S","21.2","228","Shiomi","8","https://apts.jp/properties/152171-ecology-shiomi-residence-105","Parking"
"Ecology Shiomi Residence","Tokyo","Koto-ku","Shiomi 2-1-5","1311","102,000","102000","S","21.2","228","Shiomi","8","https://apts.jp/properties/152171-ecology-shiomi-residence-105","Parking"
"Ecology Shiomi Residence","Tokyo","Koto-ku","Shiomi 2-1-5","513","102,000","102000","S","23.28","251","Shiomi","8","https://apts.jp/properties/152171-ecology-shiomi-residence-105","Parking"
"Ecology Shiomi Residence","Tokyo","Koto-ku","Shiomi 2-1-5","1213","104,000","104000","S","23.28","251","Shiomi","8","https://apts.jp/properties/152171-ecology-shiomi-residence-105","Parking"
"Ecology Shiomi Residence","Tokyo","Koto-ku","Shiomi 2-1-5","308","116,000","116000","S","21.2","228","Shiomi","8","https://apts.jp/properties/152171-ecology-shiomi-residence-105","Parking"
"MAXIV Ichinoe","Tokyo","Edogawa-ku","Ichinoe 4-17-9","503","96,000","96000","S","26.8","288","Ichinoe","9","https://apts.jp/properties/181510-maxiv-ichinoe-503","Air Conditioning"
"Prime Urban Kameido","Tokyo","Koto-ku","Kameido 2-38-2","206","97,000","97000","S","21.0","226","Kameido","4","https://apts.jp/properties/182897-prime-urban-kameido-206","Air Conditioning · Bicycle Storage"
"Napoleone KAITO","Tokyo","Sumida-ku","Kamezawa 4-19-9","210","98,000","98000","S","24.6","265","Kinshicho","9","https://apts.jp/properties/88871-napoleone-kaito-210","Air Conditioning"
"Comforia Tachibana Sumida","Tokyo","Sumida-ku","Tachibana 5-18-7","0301","98,000","98000","S","26.01","280","Omurai","6","https://apts.jp/properties/174986-comforia-tachibana-sumida-0301","Air Conditioning · Bicycle Storage"
"Ecology Toyocho","Tokyo","Koto-ku","Shiohama 2-22-10","907","98,000","98000","S","22.19","239","Toyocho","11","https://apts.jp/properties/176644-ecology-toyocho-907","Parking"
"Ecology Toyocho","Tokyo","Koto-ku","Shiohama 2-22-10","1013","105,000","105000","S","23.71","255","Toyocho","11","https://apts.jp/properties/176644-ecology-toyocho-907","Parking"
"Realize Shinkoiwa","Tokyo","Katsushika-ku","Higashishinkoiwa 5-17-5","201","98,000","98000","S","25.64","276","Shin Koiwa","10","https://apts.jp/properties/182632-realize-shinkoiwa-201","Air Conditioning · Bicycle Storage"
"Wilterrace Nishi Ojima","Tokyo","Koto-ku","Ojima 3-1-14","504","99,000","99000","S","22.0","237","Nishi Ojima","1","https://apts.jp/properties/182217-wilterrace-nishi-ojima-504","Parking"
"Wilterrace Nishi Ojima","Tokyo","Koto-ku","Ojima 3-1-14","607","101,000","101000","S","22.07","238","Nishi Ojima","1","https://apts.jp/properties/182217-wilterrace-nishi-ojima-504","Parking"
"Prime Urban Kasai East","Tokyo","Edogawa-ku","Higashikasai 6-16-9","608","100,000","100000","S","24.22","261","Kasai","4","https://apts.jp/properties/182965-prime-urban-kasai-east-608","Air Conditioning · Bicycle Storage"
"Jewel Parfe Hirai","Tokyo","Sumida-ku","Tachibana 6-12-18","0301A","100,000","100000","S","25.72","277","Hirai","8","https://apts.jp/properties/182932-jewel-parfe-hirai-0301a","Air Conditioning · Pet Friendly · Bicycle Storage"
"Jewel Parfe Hirai","Tokyo","Sumida-ku","Tachibana 6-12-18","0301B","110,000","110000","S","25.72","277","Hirai","8","https://apts.jp/properties/182932-jewel-parfe-hirai-0301a","Air Conditioning · Pet Friendly · Bicycle Storage"
"Due Nishi Oshima","Tokyo","Koto-ku","Ojima 2-13-17","607","100,000","100000","S","23.24","250","Nishi Ojima","6","https://apts.jp/properties/180126-due-nishi-oshima-607","Parking"
"Alpha Coat Aoto","Tokyo","Katsushika-ku","Tateishi 8-34-6","411","101,000","101000","S","22.0","237","Aoto","6","https://apts.jp/properties/149433-alpha-coat-aoto-411","Air Conditioning · Bicycle Storage"
"Muse Ryogoku II","Tokyo","Sumida-ku","Ryogoku 2-2-6","303","101,000","101000","S","24.96","269","Ryogoku","7","https://apts.jp/properties/182955-muse-ryogoku-ii-303",""
"Grand Park Tokyo EAST","Tokyo","Edogawa-ku","Hirai 5-25-4","0303A","102,000","102000","S","25.78","277","Hirai","3","https://apts.jp/properties/179481-grand-park-tokyo-east-0303a","Air Conditioning · Pet Friendly · Bicycle Storage"
"Grand Park Tokyo EAST","Tokyo","Edogawa-ku","Hirai 5-25-4","1003A","108,000","108000","S","25.78","277","Hirai","3","https://apts.jp/properties/179481-grand-park-tokyo-east-0303a","Air Conditioning · Pet Friendly · Bicycle Storage"
"Grand Park Tokyo EAST","Tokyo","Edogawa-ku","Hirai 5-25-4","0303B","112,000","112000","S","25.78","277","Hirai","3","https://apts.jp/properties/179481-grand-park-tokyo-east-0303a","Air Conditioning · Pet Friendly · Bicycle Storage"
"Grand Park Tokyo EAST","Tokyo","Edogawa-ku","Hirai 5-25-4","1003B","118,000","118000","S","25.78","277","Hirai","3","https://apts.jp/properties/179481-grand-park-tokyo-east-0303a","Air Conditioning · Pet Friendly · Bicycle Storage"
"Shoei Building","Tokyo","Edogawa-ku","Nishikasai 6-10-14","306","102,000","102000","2","45.9","494","Nishi Kasai","2","https://apts.jp/properties/183063-shoei-building-306",""
"Alpha Court Gotanno","Tokyo","Adachi-ku","Nishiaraihoncho 4-5-4","0501","102,000","102000","1","25.83","278","Daishi Mae","11","https://apts.jp/properties/181709-alpha-court-gotanno-0501","Air Conditioning · Bicycle Storage"
"Alpha Court Gotanno","Tokyo","Adachi-ku","Nishiaraihoncho 4-5-4","0503","103,000","103000","1","25.99","280","Daishi Mae","11","https://apts.jp/properties/181709-alpha-court-gotanno-0501","Air Conditioning · Bicycle Storage"
"Alpha Court Gotanno","Tokyo","Adachi-ku","Nishiaraihoncho 4-5-4","0602","104,000","104000","1","25.93","279","Daishi Mae","11","https://apts.jp/properties/181709-alpha-court-gotanno-0501","Air Conditioning · Bicycle Storage"
"Alpha Court Gotanno","Tokyo","Adachi-ku","Nishiaraihoncho 4-5-4","0702","105,000","105000","1","25.93","279","Daishi Mae","11","https://apts.jp/properties/181709-alpha-court-gotanno-0501","Air Conditioning · Bicycle Storage"
"Alpha Court Gotanno","Tokyo","Adachi-ku","Nishiaraihoncho 4-5-4","0703","105,000","105000","1","25.99","280","Daishi Mae","11","https://apts.jp/properties/181709-alpha-court-gotanno-0501","Air Conditioning · Bicycle Storage"
"Alpha Court Gotanno","Tokyo","Adachi-ku","Nishiaraihoncho 4-5-4","0803","106,000","106000","1","25.99","280","Daishi Mae","11","https://apts.jp/properties/181709-alpha-court-gotanno-0501","Air Conditioning · Bicycle Storage"
"MAXIV Nishi Oshima","Tokyo","Koto-ku","Kitasuna 3-28-7","101","102,500","102500","S","25.81","278","Nishi Ojima","12","https://apts.jp/properties/161676-maxiv-nishi-oshima-101","Air Conditioning"
"Rosewood Heights Monzen Nakamachi","Tokyo","Koto-ku","Eitai 2-30-5","0211","103,000","103000","S","23.14","249","Monzen Nakacho","5","https://apts.jp/properties/142494-rosewood-heights-monzen-nakamachi-0211","Air Conditioning · Bicycle Storage"
"Rosewood Heights Monzen Nakamachi","Tokyo","Koto-ku","Eitai 2-30-5","0803","106,000","106000","S","22.77","245","Monzen Nakacho","5","https://apts.jp/properties/142494-rosewood-heights-monzen-nakamachi-0211","Air Conditioning · Bicycle Storage"
"Rosewood Heights Monzen Nakamachi","Tokyo","Koto-ku","Eitai 2-30-5","1301","107,000","107000","S","23.12","249","Monzen Nakacho","5","https://apts.jp/properties/142494-rosewood-heights-monzen-nakamachi-0211","Air Conditioning · Bicycle Storage"
"Deems Kameari","Tokyo","Katsushika-ku","Nishikameari(3.4-chome) 4-11-20","305","103,000","103000","S","22.08","238","Kameari","10","https://apts.jp/properties/171004-deems-kameari-305","Air Conditioning · Pet Friendly · Bicycle Storage"
"BPR Residence Kuramae","Tokyo","Taito-ku","Kuramae 3-17-4","0404","104,000","104000","S","25.65","276","Kuramae","4","https://apts.jp/properties/35117-bpr-residence-kuramae-0404","Air Conditioning · Bicycle Storage"
"Profit Link Takenotsuka","Tokyo","Adachi-ku","Takenotsuka 3-5-18","107","104,000","104000","2","54.1","582","Takenotsuka","13","https://apts.jp/properties/183003-profit-link-takenotsuka-107","Parking"
"Timone Oshiage Toure","Tokyo","Sumida-ku","Bunka 1-18-12","203","104,000","104000","S","25.87","278","Omurai","7","https://apts.jp/properties/182723-timone-oshiage-toure-203","Air Conditioning · Bicycle Storage"
"Urban Fort Sumiyoshi","Tokyo","Koto-ku","Sarue 1-4-2","703","105,000","105000","S","25.56","275","Sumiyoshi","9","https://apts.jp/properties/183117-urban-fort-sumiyoshi-703","Air Conditioning · Bicycle Storage"
"Esty Maison Oshima","Tokyo","Koto-ku","Ojima 5-32-5","417","105,000","105000","S","22.12","238","Ojima","2","https://apts.jp/properties/182332-esty-maison-oshima-417","Parking"
"Esty Maison Oshima","Tokyo","Koto-ku","Ojima 5-32-5","524","106,000","106000","S","22.12","238","Ojima","2","https://apts.jp/properties/182332-esty-maison-oshima-417","Parking"
"Green Heim Heisei","Tokyo","Adachi-ku","Senju-midoricho 2-23-20","402","105,000","105000","2","50.32","542","Senju Ohashi","7","https://apts.jp/properties/177013-green-heim-heisei-402",""
"CAVANA Higashikomagata","Tokyo","Sumida-ku","Higashikomagata 4-13-4","607","105,000","105000","S","23.85","257","Honjo Azumabashi","6","https://apts.jp/properties/183056-cavana-higashikomagata-607","Parking"
"CAVANA Higashikomagata","Tokyo","Sumida-ku","Higashikomagata 4-13-4","502","110,000","110000","S","23.85","257","Honjo Azumabashi","6","https://apts.jp/properties/183056-cavana-higashikomagata-607","Parking"
"Joy City Sumiyoshi II","Tokyo","Koto-ku","Mori 1-10-13","505","106,000","106000","S","21.77","234","Sumiyoshi","3","https://apts.jp/properties/154557-joy-city-sumiyoshi-ii-505","Parking"
"Joy City Sumiyoshi II","Tokyo","Koto-ku","Mori 1-10-13","301","112,000","112000","S","24.01","258","Sumiyoshi","3","https://apts.jp/properties/154557-joy-city-sumiyoshi-ii-505","Parking"
"Groban Morishita","Tokyo","Sumida-ku","Tatekawa 2-5-12","702","107,000","107000","S","20.74","223","Kikukawa","7","https://apts.jp/properties/179705-groban-morishita-702",""
"Champ De Fleurs","Tokyo","Edogawa-ku","Kamishinozaki 2-25-7","204","108,000","108000","2","48.34","520","Shinozaki","10","https://apts.jp/properties/182894-champ-de-fleurs-204","Air Conditioning · Bicycle Storage"
"Residia Ojima","Tokyo","Koto-ku","Ojima 5-41-11","0207","110,000","110000","S","22.65","244","Ojima","4","https://apts.jp/properties/173647-residia-ojima-0207","Air Conditioning · Pet Friendly · Bicycle Storage"
"Residia Ojima","Tokyo","Koto-ku","Ojima 5-41-11","0301","111,000","111000","S","22.65","244","Ojima","4","https://apts.jp/properties/173647-residia-ojima-0207","Air Conditioning · Pet Friendly · Bicycle Storage"
"Residia Ojima","Tokyo","Koto-ku","Ojima 5-41-11","0409","111,000","111000","S","20.13","217","Ojima","4","https://apts.jp/properties/173647-residia-ojima-0207","Air Conditioning · Pet Friendly · Bicycle Storage"
"Residia Ojima","Tokyo","Koto-ku","Ojima 5-41-11","0601","112,000","112000","S","22.65","244","Ojima","4","https://apts.jp/properties/173647-residia-ojima-0207","Air Conditioning · Pet Friendly · Bicycle Storage"
"Residia Ojima","Tokyo","Koto-ku","Ojima 5-41-11","0707","113,000","113000","S","22.65","244","Ojima","4","https://apts.jp/properties/173647-residia-ojima-0207","Air Conditioning · Pet Friendly · Bicycle Storage"
"Residia Ojima","Tokyo","Koto-ku","Ojima 5-41-11","0108","115,000","115000","S","20.13","217","Ojima","4","https://apts.jp/properties/173647-residia-ojima-0207","Air Conditioning · Pet Friendly · Bicycle Storage"
"Joy City Sumiyoshi","Tokyo","Koto-ku","Sarue 1-10-7","305","110,000","110000","S","22.62","243","Sumiyoshi","7","https://apts.jp/properties/180932-joy-city-sumiyoshi-305","Parking"
"Plane Socie Nishiarai","Tokyo","Adachi-ku","Nishiaraisakaecho 2-8-22","804","110,000","110000","S","25.52","275","Daishi Mae","9","https://apts.jp/properties/182650-plane-socie-nishiarai-804","Air Conditioning · Bicycle Storage"
"GROWS Honjo Azumabashi","Tokyo","Sumida-ku","Honjo 3-12-2","603","110,000","110000","S","25.3","272","Honjo Azumabashi","9","https://apts.jp/properties/182316-grows-honjo-azumabashi-603","Air Conditioning · Bicycle Storage"
"HF Kinshicho Residence","Tokyo","Sumida-ku","Kotobashi 2-10-2","404","111,000","111000","S","25.26","272","Kinshicho","7","https://apts.jp/properties/180163-hf-kinshicho-residence-404",""
"Ravient Asakusa Discourse","Tokyo","Taito-ku","Asakusa 6-26-11","0306A","112,000","112000","S","25.08","270","Asakusa Tsukuba Express","9","https://apts.jp/properties/179325-ravient-asakusa-discourse-0306a","Air Conditioning · Bicycle Storage"
"CASSIA Oshiage","Tokyo","Sumida-ku","Oshiage 1-41-10","404","113,000","113000","S","21.83","235","Oshiage","5","https://apts.jp/properties/156306-cassia-oshiage-404","Parking"
"Villa Claire Asakusa","Tokyo","Taito-ku","Asakusa 6-47-5","0205","113,000","113000","S","25.18","271","Asakusa","14","https://apts.jp/properties/180743-villa-claire-asakusa-0205","Air Conditioning · Pet Friendly · Bicycle Storage"
"MFPR Court Kiba Park","Tokyo","Koto-ku","Toyo 6-2-13","416","113,000","113000","S","23.41","252","Kiba","11","https://apts.jp/properties/174160-mfpr-court-kiba-park-416","Air Conditioning · Bicycle Storage"
"MFPR Court Kiba Park","Tokyo","Koto-ku","Toyo 6-2-13","420","113,000","113000","S","23.41","252","Kiba","11","https://apts.jp/properties/174160-mfpr-court-kiba-park-416","Air Conditioning · Bicycle Storage"
"MFPR Court Kiba Park","Tokyo","Koto-ku","Toyo 6-2-13","614","115,000","115000","S","23.41","252","Kiba","11","https://apts.jp/properties/174160-mfpr-court-kiba-park-416","Air Conditioning · Bicycle Storage"
"BLAU Honjo Kasuga Street","Tokyo","Sumida-ku","Honjo 1-25-10","206","114,000","114000","S","25.8","278","Honjo Azumabashi","10","https://apts.jp/properties/65752-blau-honjo-kasuga-street-206","Air Conditioning · Bicycle Storage"
"Due Aoto","Tokyo","Katsushika-ku","Tateishi 8-36-1","205","115,000","115000","1","25.45","274","Aoto","9","https://apts.jp/properties/182834-due-aoto-205","Air Conditioning · Pet Friendly · Bicycle Storage"
"Due Aoto","Tokyo","Katsushika-ku","Tateishi 8-36-1","406","120,000","120000","1","25.44","274","Aoto","9","https://apts.jp/properties/182834-due-aoto-205","Air Conditioning · Pet Friendly · Bicycle Storage"
"Comforia Ueno Iriya","Tokyo","Taito-ku","Ryusen 2-6-8","0806","116,000","116000","S","25.76","277","Iriya","8","https://apts.jp/properties/180721-comforia-ueno-iriya-0806","Air Conditioning · Pet Friendly · Bicycle Storage"
